N,A_N,A_cont,relative_error
50,0.4439917744044366,0.43990913415048294,0.009280644426348928
100,0.44192989686984707,0.43990913415048294,0.004593591181657247
200,0.4409144538309071,0.43990913415048294,0.0022852893981516395
400,0.44041053809125724,0.43990913415048294,0.0011397897925956323
800,0.44015952333212155,0.43990913415048294,0.0005691838659411835
1600,0.44003425069973845,0.43990913415048294,0.00028441452914390066
